t,Date,IBM.Return,SP500.Return
,31-Jan-12,,
1,29-Feb-12,0.02530,0.04060
2,31-Mar-12,0.06060,0.03130
3,30-Apr-12,-0.00750,-0.00750
4,31-May-12,-0.06440,-0.06270
5,30-Jun-12,0.01390,0.03960
6,31-Jul-12,0.00200,0.01260
7,31-Aug-12,-0.00140,0.01980
8,30-Sep-12,0.06470,0.02420
9,31-Oct-12,-0.06230,-0.01980
10,30-Nov-12,-0.01860,0.00280
11,31-Dec-12,0.00780,0.00710
12,31-Jan-13,0.06010,0.05040
13,28-Feb-13,-0.00680,0.01110
14,31-Mar-13,0.06210,0.03600
15,30-Apr-13,-0.05040,0.01810
16,31-May-13,0.03170,0.02080
17,30-Jun-13,-0.08130,-0.01500
18,31-Jul-13,0.02060,0.04950
19,31-Aug-13,-0.06060,-0.03130
20,30-Sep-13,0.01600,0.02970
21,31-Oct-13,-0.03220,0.04460
22,30-Nov-13,0.00790,0.02800
23,31-Dec-13,0.04390,0.02360
24,31-Jan-14,-0.05810,-0.03560
25,28-Feb-14,0.05340,0.04310
26,31-Mar-14,0.03950,0.00690
27,30-Apr-14,0.02070,0.00620
28,31-May-14,-0.05600,0.02100
29,30-Jun-14,-0.01680,0.01910
30,31-Jul-14,0.05740,-0.01510
31,31-Aug-14,0.00900,0.03770
32,30-Sep-14,-0.01280,-0.01550
33,31-Oct-14,-0.13400,0.02320
34,30-Nov-14,-0.00690,0.02450
35,31-Dec-14,-0.01070,-0.00420
36,31-Jan-15,-0.04440,-0.03100
37,28-Feb-15,0.06350,0.05490
38,31-Mar-15,-0.00890,-0.01740
39,30-Apr-15,0.06720,0.00850
40,31-May-15,-0.00200,0.01050
41,30-Jun-15,-0.04120,-0.02100
42,31-Jul-15,-0.00410,0.01970
43,31-Aug-15,-0.07900,-0.06260
44,30-Sep-15,-0.01970,-0.02640
45,31-Oct-15,-0.03370,0.08300
46,30-Nov-15,0.00460,0.00050
47,31-Dec-15,-0.01290,-0.01750
48,31-Jan-16,-0.09320,-0.05070
49,29-Feb-16,0.06040,-0.00410
50,31-Mar-16,0.15580,0.06600
51,30-Apr-16,-0.03640,0.00270
52,31-May-16,0.06300,0.01530
53,30-Jun-16,-0.01270,0.00090
54,31-Jul-16,0.05820,0.03560
55,31-Aug-16,-0.00210,-0.00120
56,30-Sep-16,-0.00020,-0.00120
57,31-Oct-16,-0.03250,-0.01940
58,30-Nov-16,0.06460,0.03420
59,31-Dec-16,0.02320,0.01820
