STREET.ADDRESS,CITY.STATE,ZIP.CODE,BEDS,BATHS,SQUARE.FOOT
23 LEE AVE,HOPELAWN  NJ,088612227,4,2,2200
11 MYSTIC ST,FORDS  NJ,088631903,0,0,2450
68 CODDINGTON AVE,HOPELAWN  NJ,088611558,0,0,0
P O BOX 1302,WOODBRIDGE  NJ,070951302,0,0,0
8 MURDOCK ST,FORDS     NJ,08863,4,4,3000
P O BOX 3386,HALLANDALE  FL,330083386,0,0,0
48 CHURCHILL ST,ISELIN  NJ,088302188,0,0,2517
44 CHURCHILL ST,ISELIN  NJ,088302188,5,4,2422
47 DELANO ST,ISELIN  NJ,088300000,0,0,2517
37 MAC ARTHUR ST,ISELIN  NJ,088302176,4,2,4792
35 CHURCHILL ST,ISELIN      NJ,088302188,0,0,2522
21 ELM ST,COLONIA     NJ,070674008,4,2,2797
27 ELM ST,COLONIA  NJ,07067,0,0,2935
169 BLOOMFIELD AVE,ISELIN  NJ,088302225,4,2.5,2235
26 E JULIUS ST,ISELIN  NJ,088302604,0,0,0
114 SOUTH HILL RD,COLONIA    NJ,070674014,0,0,0
110 CANAL ST,ISELIN     NJ,088301903,0,0,0
67 GRAND ST,ISELIN     NJ,08830,0,0,0
68 ELM AVE,ISELIN   NJ,088301503,0,0,0
28 WILLOW AVE,ISELIN  NJ,088301524,0,0,0
47 GOODRICH ST,ISELIN     NJ,08830,0,0,0
32 PROSPECT LN,COLONIA     NJ,07067,0,0,0
36 PROSPECT LN,COLONIA     NJ,07067,0,0,0
238 COLONIA BLVD,COLONIA    NJ,07067,0,0,0
53 PRINCETON AVE,COLONIA               NJ,070672811,0,0,0
425 COLONIAL BLVD,COLONIA               NJ,070673122,0,0,0
421 COLONIA BLVD,COLONIA               NJ,070673122,0,0,0
38 GARFIELD AVE,COLONIA            NJ,070672206,0,0,0
42 GARFIELD AVE,COLONIA               NJ,070672206,0,0,0
21 N GRANT AVE,COLONIA              NJ,070672207,0,0,0
67 HARRISON AVE,COLONIA            NJ,070672228,0,0,0
81 N LINCOLN AVE,COLONIA               NJ,070672327,0,0,0
150 WEST STREET,COLONIA               NJ,070672109,0,0,0
625 LEESVILLE AVE,RAHWAY             NJ,070650000,0,0,0
212 EAST GEORGE PL,ISELIN            NJ,088301235,0,0,0
658 WOOD AVE,COLONIA               NJ,070672427,0,0,0
66 KLINE BLVD,COLONIA  NJ,070671922,0,0,0
854 WOOD AVE,COLONIA     NJ,07067,0,0,0
7 NICOLE CT,COLONIA  NJ,070671900,0,0,0
20 KIMBERLY RD,COLONIA     NJ,07067,0,0,0
171 LAKE AVE,COLONIA              NJ,070671354,0,0,0
4 ELIZABETH CT,COLONIA     NJ,07067,0,0,0
76 RUSSELL ST,WOODBRIDGE             NJ,070952626,0,0,0
850 COOLIDGE AVE,WOODBRIDGE  NJ,070953214,0,0,0
102 WEDGEWOOD AVE,WOODBRIDGE    NJ,070953526,0,0,0
8 HARMONY WAY,SEWAREN  NJ,070771018,0,0,0
70 SHERMAN ST,SEWAREN       NJ,070771249,0,0,0
337 DEMOREST AVE,AVENEL    NJ,070011106,0,0,0
521 JANSEN AVE,AVENEL     NJ,07001,0,0,0
40 W PARK AVE,AVENEL    NJ,070010001,0,0,0
7 LIVINGSTON AVE,AVENEL    NJ,07001,0,0,0
163 CHESTNUT ST,AVENEL     NJ,07001,0,0,0
156 BORMAN AVE,AVENEL             NJ,070010000,0,0,0
9795 KNIGHTSBRIDGE CIRCLE,SARASOTA       FL,342380000,0,0,0
